date,Hamburg,Schleswig-Holstein,Lower Saxony,Baden-Wuerttemberg,Saarland,Bremen,Brandenburg,Saxony,Bavaria,Saxony-Anhalt,Hesse,Rheinland-Pfalz,North Rhine-Westphalia,Berlin,Mecklenburg-Vorpommern,Thuringia
2020-05-06,77.38095238095238,66.66666666666667,60.41666666666667,73.80952380952381,55.35714285714286,56.74603174603175,45.238095238095234,50.595238095238095,71.03174603174604,50.595238095238095,52.38095238095237,47.916666666666664,55.95238095238095,50.595238095238095,63.095238095238095,54.166666666666664
2020-05-07,70.23809523809524,66.66666666666667,60.41666666666667,73.80952380952381,55.35714285714286,56.74603174603175,45.238095238095234,50.595238095238095,71.03174603174604,50.595238095238095,52.38095238095237,47.916666666666664,53.273809523809526,50.595238095238095,63.095238095238095,54.166666666666664
2020-05-08,70.23809523809524,66.66666666666667,57.73809523809524,73.80952380952381,55.35714285714286,56.74603174603175,45.238095238095234,50.595238095238095,71.03174603174604,50.595238095238095,49.70238095238095,47.916666666666664,53.273809523809526,50.595238095238095,63.095238095238095,54.166666666666664
2020-05-09,70.23809523809524,66.66666666666667,57.73809523809524,73.80952380952381,55.35714285714286,56.74603174603175,45.238095238095234,50.595238095238095,71.03174603174604,50.595238095238095,49.70238095238095,47.916666666666664,53.273809523809526,50.595238095238095,59.52380952380952,54.166666666666664
2020-05-10,70.23809523809524,66.66666666666667,57.73809523809524,73.80952380952381,55.35714285714286,56.74603174603175,45.238095238095234,50.595238095238095,71.03174603174604,50.595238095238095,49.70238095238095,47.916666666666664,53.273809523809526,50.595238095238095,59.52380952380952,54.166666666666664
2020-05-11,70.23809523809524,66.66666666666667,54.166666666666664,73.80952380952381,52.67857142857143,56.74603174603175,46.03174603174603,50.595238095238095,70.23809523809524,50.595238095238095,49.70238095238095,40.77380952380952,46.13095238095238,47.916666666666664,59.52380952380952,54.166666666666664
2020-05-12,70.23809523809524,66.66666666666667,47.02380952380952,70.23809523809524,52.67857142857143,56.74603174603175,46.03174603174603,50.595238095238095,70.23809523809524,50.595238095238095,49.70238095238095,40.77380952380952,46.13095238095238,47.916666666666664,59.52380952380952,50.595238095238095
2020-05-13,63.09523809523809,66.66666666666667,47.02380952380952,70.23809523809524,52.67857142857143,56.74603174603175,46.03174603174603,50.595238095238095,70.23809523809524,50.595238095238095,49.70238095238095,40.77380952380952,46.13095238095238,47.916666666666664,59.52380952380952,50.595238095238095
2020-05-14,63.09523809523809,66.66666666666667,47.02380952380952,70.23809523809524,52.67857142857143,56.74603174603175,46.03174603174603,50.595238095238095,70.23809523809524,50.595238095238095,49.70238095238095,40.77380952380952,46.13095238095238,47.916666666666664,54.166666666666664,50.595238095238095
2020-05-15,63.09523809523809,66.66666666666667,47.02380952380952,70.23809523809524,52.67857142857143,56.74603174603175,38.888888888888886,45.03968253968254,70.23809523809524,50.595238095238095,46.13095238095238,40.77380952380952,46.13095238095238,47.916666666666664,54.166666666666664,43.45238095238095
2020-05-16,63.09523809523809,59.52380952380952,47.02380952380952,70.23809523809524,52.67857142857143,56.74603174603175,38.888888888888886,45.03968253968254,70.23809523809524,50.595238095238095,46.13095238095238,40.77380952380952,46.13095238095238,44.34523809523809,54.166666666666664,43.45238095238095
2020-05-17,63.09523809523809,59.52380952380952,47.02380952380952,70.23809523809524,52.67857142857143,56.74603174603175,38.888888888888886,45.03968253968254,70.23809523809524,50.595238095238095,46.13095238095238,40.77380952380952,46.13095238095238,44.34523809523809,54.166666666666664,43.45238095238095
2020-05-18,63.09523809523809,46.13095238095238,44.34523809523809,67.55952380952381,42.857142857142854,58.33333333333333,38.888888888888886,45.03968253968254,64.68253968253968,47.02380952380952,46.13095238095238,40.77380952380952,46.13095238095238,44.34523809523809,50.595238095238095,43.45238095238095
2020-05-19,48.8095238095238,46.13095238095238,44.34523809523809,67.55952380952381,42.857142857142854,54.76190476190475,38.888888888888886,39.682539682539684,64.68253968253968,47.02380952380952,46.13095238095238,40.77380952380952,46.13095238095238,44.34523809523809,50.595238095238095,43.45238095238095
2020-05-20,48.8095238095238,46.13095238095238,44.34523809523809,67.55952380952381,42.857142857142854,51.19047619047618,38.888888888888886,39.682539682539684,64.68253968253968,47.02380952380952,46.13095238095238,40.77380952380952,46.13095238095238,44.34523809523809,50.595238095238095,43.45238095238095
2020-05-21,48.8095238095238,46.13095238095238,44.34523809523809,67.55952380952381,42.857142857142854,51.19047619047618,38.888888888888886,39.682539682539684,64.68253968253968,47.02380952380952,46.13095238095238,40.77380952380952,46.13095238095238,44.34523809523809,50.595238095238095,43.45238095238095
2020-05-22,48.8095238095238,46.13095238095238,44.34523809523809,67.55952380952381,42.857142857142854,51.19047619047618,38.888888888888886,39.682539682539684,64.68253968253968,47.02380952380952,46.13095238095238,40.77380952380952,46.13095238095238,44.34523809523809,50.595238095238095,43.45238095238095
2020-05-23,48.8095238095238,46.13095238095238,44.34523809523809,67.55952380952381,42.857142857142854,51.19047619047618,38.888888888888886,39.682539682539684,64.68253968253968,47.02380952380952,46.13095238095238,40.77380952380952,46.13095238095238,44.34523809523809,50.595238095238095,43.45238095238095
2020-05-24,48.8095238095238,46.13095238095238,44.34523809523809,67.55952380952381,42.857142857142854,51.19047619047618,38.888888888888886,39.682539682539684,64.68253968253968,47.02380952380952,46.13095238095238,40.77380952380952,46.13095238095238,44.34523809523809,50.595238095238095,43.45238095238095
2020-05-25,43.45238095238095,43.45238095238095,44.34523809523809,63.988095238095234,42.857142857142854,51.19047619047618,38.888888888888886,39.682539682539684,64.68253968253968,47.02380952380952,46.13095238095238,40.77380952380952,46.13095238095238,44.34523809523809,50.595238095238095,43.45238095238095
